style,image_id_1,image_id_2,similarity,flag
Brutalism architecture,ARC_0020,ARC_0022,0.7533,HIGH_SIMILARITY
Brutalism architecture,ARC_0020,ARC_0023,0.7805,HIGH_SIMILARITY
Brutalism architecture,ARC_0020,ARC_0024,0.8312,HIGH_SIMILARITY
Brutalism architecture,ARC_0020,ARC_0025,0.7888,HIGH_SIMILARITY
Brutalism architecture,ARC_0020,ARC_0026,0.8796,VERY_HIGH_SIMILARITY
Brutalism architecture,ARC_0020,ARC_0027,0.7156,MODERATE_SIMILARITY
Brutalism architecture,ARC_0020,ARC_0028,0.8819,VERY_HIGH_SIMILARITY
Brutalism architecture,ARC_0021,ARC_0022,0.7033,MODERATE_SIMILARITY
Brutalism architecture,ARC_0021,ARC_0023,0.7634,HIGH_SIMILARITY
Brutalism architecture,ARC_0021,ARC_0024,0.7464,MODERATE_SIMILARITY
Brutalism architecture,ARC_0021,ARC_0025,0.738,MODERATE_SIMILARITY
Brutalism architecture,ARC_0021,ARC_0026,0.8103,HIGH_SIMILARITY
Brutalism architecture,ARC_0021,ARC_0027,0.7425,MODERATE_SIMILARITY
Brutalism architecture,ARC_0021,ARC_0028,0.801,HIGH_SIMILARITY
Brutalism architecture,ARC_0022,ARC_0025,0.7539,HIGH_SIMILARITY
Brutalism architecture,ARC_0022,ARC_0028,0.7232,MODERATE_SIMILARITY
Brutalism architecture,ARC_0023,ARC_0026,0.7504,HIGH_SIMILARITY
Brutalism architecture,ARC_0023,ARC_0028,0.7134,MODERATE_SIMILARITY
Brutalism architecture,ARC_0024,ARC_0025,0.7888,HIGH_SIMILARITY
Brutalism architecture,ARC_0024,ARC_0026,0.7977,HIGH_SIMILARITY
Brutalism architecture,ARC_0024,ARC_0028,0.8024,HIGH_SIMILARITY
Brutalism architecture,ARC_0025,ARC_0026,0.7323,MODERATE_SIMILARITY
Brutalism architecture,ARC_0025,ARC_0028,0.8295,HIGH_SIMILARITY
Brutalism architecture,ARC_0026,ARC_0027,0.7477,MODERATE_SIMILARITY
Brutalism architecture,ARC_0026,ARC_0028,0.7848,HIGH_SIMILARITY
Bauhaus architecture,ARC_0029,ARC_0030,0.7399,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0029,ARC_0032,0.7044,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0029,ARC_0033,0.7633,HIGH_SIMILARITY
Bauhaus architecture,ARC_0029,ARC_0035,0.754,HIGH_SIMILARITY
Bauhaus architecture,ARC_0029,ARC_0037,0.7305,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0029,ARC_0039,0.7459,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0029,ARC_0040,0.7262,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0029,ARC_0041,0.7564,HIGH_SIMILARITY
Bauhaus architecture,ARC_0029,ARC_0043,0.7297,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0029,ARC_0046,0.7569,HIGH_SIMILARITY
Bauhaus architecture,ARC_0029,ARC_0047,0.7521,HIGH_SIMILARITY
Bauhaus architecture,ARC_0029,ARC_0048,0.7486,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0029,ARC_0051,0.7361,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0029,ARC_0052,0.741,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0029,ARC_0055,0.756,HIGH_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0031,0.7334,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0032,0.7069,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0033,0.8749,VERY_HIGH_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0034,0.746,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0035,0.7315,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0037,0.7721,HIGH_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0038,0.8662,VERY_HIGH_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0039,0.8617,VERY_HIGH_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0040,0.86,VERY_HIGH_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0041,0.9212,VERY_HIGH_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0043,0.9166,VERY_HIGH_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0046,0.7961,HIGH_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0047,0.8993,VERY_HIGH_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0048,0.8645,VERY_HIGH_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0050,0.8099,HIGH_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0051,0.8353,HIGH_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0052,0.8534,VERY_HIGH_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0054,0.7294,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0055,0.8957,VERY_HIGH_SIMILARITY
Bauhaus architecture,ARC_0030,ARC_0056,0.7412,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0031,ARC_0039,0.7364,MODERATE_SIMILARITY
